mes_referencia,faixa_etaria,sexo,uf,total,com_sintoma,pct_com_sintoma_chave
7,0-9,Homem,Acre,497,13,0.0262
7,0-9,Homem,Alagoas,855,26,0.0304
7,0-9,Homem,Amapá,220,6,0.0273
7,0-9,Homem,Amazonas,720,18,0.025
7,0-9,Homem,Bahia,1040,28,0.0269
7,0-9,Homem,Ceará,1084,25,0.0231
7,0-9,Homem,Distrito Federal,393,11,0.028
7,0-9,Homem,Espírito Santo,893,21,0.0235
7,0-9,Homem,Goiás,788,16,0.0203
7,0-9,Homem,Maranhão,1430,35,0.0245
7,0-9,Homem,Mato Grosso,822,27,0.0328
7,0-9,Homem,Mato Grosso do Sul,544,21,0.0386
7,0-9,Homem,Minas Gerais,1923,78,0.0406
7,0-9,Homem,Paraná,1222,23,0.0188
7,0-9,Homem,Paraíba,630,15,0.0238
7,0-9,Homem,Pará,818,19,0.0232
7,0-9,Homem,Pernambuco,1067,19,0.0178
7,0-9,Homem,Piauí,523,7,0.0134
7,0-9,Homem,Rio Grande do Norte,530,15,0.0283
7,0-9,Homem,Rio Grande do Sul,1184,30,0.0253
7,0-9,Homem,Rio de Janeiro,1412,28,0.0198
7,0-9,Homem,Rondônia,351,4,0.0114
7,0-9,Homem,Roraima,462,12,0.026
7,0-9,Homem,Santa Catarina,1288,28,0.0217
7,0-9,Homem,Sergipe,565,23,0.0407
7,0-9,Homem,São Paulo,1905,42,0.022
7,0-9,Homem,Tocantins,371,11,0.0296
7,0-9,Mulher,Acre,427,16,0.0375
7,0-9,Mulher,Alagoas,818,22,0.0269
7,0-9,Mulher,Amapá,222,10,0.045
7,0-9,Mulher,Amazonas,700,24,0.0343
7,0-9,Mulher,Bahia,1063,25,0.0235
7,0-9,Mulher,Ceará,1031,24,0.0233
7,0-9,Mulher,Distrito Federal,338,12,0.0355
7,0-9,Mulher,Espírito Santo,888,34,0.0383
7,0-9,Mulher,Goiás,728,18,0.0247
7,0-9,Mulher,Maranhão,1354,44,0.0325
7,0-9,Mulher,Mato Grosso,718,20,0.0279
7,0-9,Mulher,Mato Grosso do Sul,522,12,0.023
7,0-9,Mulher,Minas Gerais,1828,66,0.0361
7,0-9,Mulher,Paraná,1097,29,0.0264
7,0-9,Mulher,Paraíba,625,15,0.024
7,0-9,Mulher,Pará,754,28,0.0371
7,0-9,Mulher,Pernambuco,1057,22,0.0208
7,0-9,Mulher,Piauí,544,12,0.0221
7,0-9,Mulher,Rio Grande do Norte,511,11,0.0215
7,0-9,Mulher,Rio Grande do Sul,1079,17,0.0158
7,0-9,Mulher,Rio de Janeiro,1383,29,0.021
7,0-9,Mulher,Rondônia,330,3,0.0091
7,0-9,Mulher,Roraima,377,9,0.0239
7,0-9,Mulher,Santa Catarina,1266,27,0.0213
7,0-9,Mulher,Sergipe,523,20,0.0382
7,0-9,Mulher,São Paulo,1900,35,0.0184
7,0-9,Mulher,Tocantins,332,11,0.0331
7,10-19,Homem,Acre,590,22,0.0373
7,10-19,Homem,Alagoas,1162,38,0.0327
7,10-19,Homem,Amapá,308,10,0.0325
7,10-19,Homem,Amazonas,954,26,0.0273
7,10-19,Homem,Bahia,1439,39,0.0271
7,10-19,Homem,Ceará,1328,41,0.0309
7,10-19,Homem,Distrito Federal,474,11,0.0232
7,10-19,Homem,Espírito Santo,1068,34,0.0318
7,10-19,Homem,Goiás,1004,32,0.0319
7,10-19,Homem,Maranhão,1870,78,0.0417
7,10-19,Homem,Mato Grosso,867,28,0.0323
7,10-19,Homem,Mato Grosso do Sul,637,10,0.0157
7,10-19,Homem,Minas Gerais,2469,66,0.0267
7,10-19,Homem,Paraná,1407,33,0.0235
7,10-19,Homem,Paraíba,765,27,0.0353
7,10-19,Homem,Pará,1068,42,0.0393
7,10-19,Homem,Pernambuco,1321,22,0.0167
7,10-19,Homem,Piauí,670,15,0.0224
7,10-19,Homem,Rio Grande do Norte,691,24,0.0347
7,10-19,Homem,Rio Grande do Sul,1399,25,0.0179
7,10-19,Homem,Rio de Janeiro,1811,36,0.0199
7,10-19,Homem,Rondônia,410,6,0.0146
7,10-19,Homem,Roraima,514,16,0.0311
7,10-19,Homem,Santa Catarina,1408,23,0.0163
7,10-19,Homem,Sergipe,675,25,0.037
7,10-19,Homem,São Paulo,2303,46,0.02
7,10-19,Homem,Tocantins,455,6,0.0132
7,10-19,Mulher,Acre,570,20,0.0351
7,10-19,Mulher,Alagoas,1060,28,0.0264
7,10-19,Mulher,Amapá,304,16,0.0526
7,10-19,Mulher,Amazonas,920,31,0.0337
7,10-19,Mulher,Bahia,1362,37,0.0272
7,10-19,Mulher,Ceará,1266,55,0.0434
7,10-19,Mulher,Distrito Federal,501,23,0.0459
7,10-19,Mulher,Espírito Santo,952,31,0.0326
7,10-19,Mulher,Goiás,962,38,0.0395
7,10-19,Mulher,Maranhão,1921,98,0.051
7,10-19,Mulher,Mato Grosso,848,25,0.0295
7,10-19,Mulher,Mato Grosso do Sul,599,12,0.02
7,10-19,Mulher,Minas Gerais,2331,60,0.0257
7,10-19,Mulher,Paraná,1336,36,0.0269
7,10-19,Mulher,Paraíba,787,33,0.0419
7,10-19,Mulher,Pará,1027,34,0.0331
7,10-19,Mulher,Pernambuco,1236,20,0.0162
7,10-19,Mulher,Piauí,683,17,0.0249
7,10-19,Mulher,Rio Grande do Norte,619,19,0.0307
7,10-19,Mulher,Rio Grande do Sul,1244,31,0.0249
7,10-19,Mulher,Rio de Janeiro,1696,27,0.0159
7,10-19,Mulher,Rondônia,379,4,0.0106
7,10-19,Mulher,Roraima,497,20,0.0402
7,10-19,Mulher,Santa Catarina,1421,36,0.0253
7,10-19,Mulher,Sergipe,712,30,0.0421
7,10-19,Mulher,São Paulo,2247,61,0.0271
7,10-19,Mulher,Tocantins,436,8,0.0183
7,20-29,Homem,Acre,513,23,0.0448
7,20-29,Homem,Alagoas,876,37,0.0422
7,20-29,Homem,Amapá,298,18,0.0604
7,20-29,Homem,Amazonas,766,43,0.0561
7,20-29,Homem,Bahia,1175,47,0.04
7,20-29,Homem,Ceará,1226,61,0.0498
7,20-29,Homem,Distrito Federal,488,25,0.0512
7,20-29,Homem,Espírito Santo,984,39,0.0396
7,20-29,Homem,Goiás,927,38,0.041
7,20-29,Homem,Maranhão,1413,52,0.0368
7,20-29,Homem,Mato Grosso,783,37,0.0473
